,Entity,Year,Population,indu_rate
50,Canada,2041.0,45203101.85127841,14.097812683428437
51,Canada,2042.0,45655341.94164506,13.618121253780135
52,Canada,2043.0,46159725.934122905,13.030969937972007
53,Canada,2044.0,46724557.704695195,12.336958692193008
54,Canada,2045.0,46647629.86115122,13.256713557524067
55,Canada,2046.0,47099869.9515683,12.777022127880736
56,Canada,2047.0,47604253.944082886,12.189870812072023
57,Canada,2048.0,48169085.7146183,11.495859566294278
58,Canada,2049.0,48092157.87109415,12.41561443162563
59,Canada,2050.0,48544397.96158385,11.935923001984245
60,India,1991.0,888923353.3347573,15.616584528207868
61,India,1992.0,907586196.2768086,15.815123710436481
62,India,1993.0,926354369.8673924,15.547411505572823
63,India,1994.0,945304894.9726844,15.639168611733108
64,India,1995.0,964234937.0572224,15.784412584495414
65,India,1996.0,983249946.8851035,15.982951765096573
66,India,1997.0,1002347987.5120838,15.715239558603738
67,India,1998.0,1021480106.4186963,15.806996663185721
68,India,1999.0,1040445806.712394,15.95225570864872
69,India,2000.0,1059651986.6524198,16.151126874062065
70,India,2001.0,1078974711.784297,15.883838233068852
71,India,2002.0,1098345458.9044075,16.628115132094475
72,India,2003.0,1117378684.3763947,17.5017688117847
73,India,2004.0,1136264089.0969768,18.428891018339776
74,India,2005.0,1154635866.3820534,18.891932592807002
75,India,2006.0,1172375603.9112377,19.712446884684635
76,India,2007.0,1189689591.62534,20.58644804366456
77,India,2008.0,1206700074.773031,21.513744410657743
78,India,2009.0,1223663341.6715405,21.976785986759992
79,India,2010.0,1240666545.3151293,22.797300278888713
80,India,2011.0,1258344647.0977755,23.671293179162298
81,India,2012.0,1274406309.5859084,24.012579419215523
82,India,2013.0,1290566113.751602,23.888005360579786
83,India,2014.0,1306768031.8713822,24.1225095257657
84,India,2015.0,1322589218.7160344,24.410500557884248
85,India,2016.0,1338650881.208914,24.751786797937413
86,India,2017.0,1354810685.3755975,24.62721273930172
87,India,2018.0,1373974592.9822924,25.5929846915223
88,India,2019.0,1394469044.2778604,26.092021115033972
89,India,2020.0,1417666025.6601057,26.642603786677384
90,India,2021.0,1419817900.8840094,25.885285151197735
91,India,2022.0,1438219164.6053662,26.332192070243163
92,India,2023.0,1458713615.8973222,26.831228493755866
93,India,2024.0,1481910597.277863,27.38181116540266
94,India,2025.0,1484062472.50737,26.624492529916918
95,India,2026.0,1502463736.2250056,27.071399448966613
96,India,2027.0,1522958187.5221043,27.570435872476885
97,India,2028.0,1546155168.9041653,28.121018544120517
98,India,2029.0,1548307044.1277492,27.363699908639468
99,India,2030.0,1566708307.8457606,27.810606827691554
100,India,2031.0,1587202759.1370473,28.309643251200555
101,India,2032.0,1610399740.5194988,28.860225922850276
102,India,2033.0,1612551615.744441,28.102907287365255
103,India,2034.0,1630952879.4690483,28.549814206411085
104,India,2035.0,1651447330.7639956,29.048850629927053
105,India,2036.0,1674644312.140092,29.59943330157131
106,India,2037.0,1676796187.3733494,28.84211466608295
107,India,2038.0,1695197451.092215,29.289021585129877
108,India,2039.0,1715691902.387125,29.788058008645255
109,India,2040.0,1738888883.7687824,30.338640680286073
110,India,2041.0,1741040758.992394,29.581322044805397
111,India,2042.0,1759442022.7074041,30.02822896385766
112,India,2043.0,1779936474.0034084,30.52726538736659
113,India,2044.0,1803133455.3858452,31.07784805901627
114,India,2045.0,1805285330.609273,30.320529423532406
115,India,2046.0,1823686594.328,30.76743634257897
116,India,2047.0,1844181045.6266508,31.266472766088146
117,India,2048.0,1867378027.0064373,31.81705543773731
118,India,2049.0,1869529902.2313058,31.05973680225233
119,India,2050.0,1887931165.955309,31.506643721296854
120,Japan,1991.0,124077009.56471361,35.51469080901131
121,Japan,1992.0,124441540.22370727,34.887646752201555
122,Japan,1993.0,124778158.57438396,34.32498039379624
123,Japan,1994.0,125121731.09364212,34.091891617567136
124,Japan,1995.0,125431070.31387609,33.66199841161927
125,Japan,1996.0,125729356.09380274,33.03495434982544
126,Japan,1997.0,126023664.4883976,32.472287954643036
127,Japan,1998.0,126307751.67298509,32.239199138373884
128,Japan,1999.0,126557871.52748361,31.809305886158413
129,Japan,2000.0,126809993.80047463,31.18226177491932
130,Japan,2001.0,127059661.93396752,30.61959536402302
131,Japan,2002.0,127301695.11300038,30.386506539350066
132,Japan,2003.0,127502250.70955072,29.95661328839168
133,Japan,2004.0,127671229.65990722,29.33006835394273
134,Japan,2005.0,127792539.8925748,28.768433739268893
135,Japan,2006.0,127913536.01686694,28.53685249812041
136,Japan,2007.0,128000620.15326397,28.272069385356446
137,Japan,2008.0,128077569.16545303,27.905021312039977
138,Japan,2009.0,128112865.20177849,27.603298607489123
139,Japan,2010.0,128113474.57723676,27.631391424860837
140,Japan,2011.0,128080116.62580062,27.463115806092176
141,Japan,2012.0,127854246.4815436,27.09789087200472
142,Japan,2013.0,127622962.90853867,26.79776095233747
143,Japan,2014.0,127430815.05020738,26.8264913069411
144,Japan,2015.0,127204699.85878515,26.658417229556708
145,Japan,2016.0,126978829.7147896,26.293192295467104
146,Japan,2017.0,126747546.1418392,25.99306237579649
147,Japan,2018.0,126664326.2361705,24.971561043983563
