Entity,Code,Year,Fossil fuels (% growth)
Austria,AUT,1992,-6.2660575
Austria,AUT,1993,0.22801161
Austria,AUT,1994,0.5465627
Austria,AUT,1995,4.5398355
Austria,AUT,1996,3.8787007
Austria,AUT,1997,0.65779686
Austria,AUT,1998,0.90881586
Austria,AUT,1999,-0.35791993
Austria,AUT,2000,-0.6960273
Austria,AUT,2001,6.867492
Austria,AUT,2002,0.86944103
Austria,AUT,2003,8.5649605
Austria,AUT,2004,-1.5358686
Austria,AUT,2005,1.4011025
Austria,AUT,2006,-1.9297898
Austria,AUT,2007,-5.4219365
Austria,AUT,2008,1.4095664
Austria,AUT,2009,-7.347327
Austria,AUT,2010,7.5440884
Austria,AUT,2011,-4.2319536
Austria,AUT,2012,-3.4499168
Austria,AUT,2013,0.15747547
Austria,AUT,2014,-6.0187874
Austria,AUT,2015,2.6006818
Austria,AUT,2016,2.2216916
Austria,AUT,2017,4.1060567
Austria,AUT,2018,-2.1159828
Austria,AUT,2019,3.4421086
Austria,AUT,2020,-10.341108
Austria,AUT,2021,4.0560246
Austria,AUT,2022,-6.238347
Azerbaijan,AZE,1986,8.390021
Azerbaijan,AZE,1987,-3.118968
Azerbaijan,AZE,1988,0.20407438
Azerbaijan,AZE,1989,1.9937158
Azerbaijan,AZE,1990,3.0894518
Azerbaijan,AZE,1991,-4.1070104
Azerbaijan,AZE,1992,-14.6531105
Azerbaijan,AZE,1993,-14.5394745
Azerbaijan,AZE,1994,-7.4679317
Azerbaijan,AZE,1995,-5.685276
Azerbaijan,AZE,1996,-18.488735
Azerbaijan,AZE,1997,-4.7985435
Azerbaijan,AZE,1998,-0.17852783
Azerbaijan,AZE,1999,0.8472204
Azerbaijan,AZE,2000,4.609537
Azerbaijan,AZE,2001,-3.2260299
Azerbaijan,AZE,2002,-2.9924273
Azerbaijan,AZE,2003,7.6510787
Azerbaijan,AZE,2004,13.258982
Azerbaijan,AZE,2005,8.400476
Azerbaijan,AZE,2006,-0.8174658
Azerbaijan,AZE,2007,-7.9911175
Azerbaijan,AZE,2008,1.2010694
Azerbaijan,AZE,2009,-14.862031
Azerbaijan,AZE,2010,-4.043084
Azerbaijan,AZE,2011,16.620695
Azerbaijan,AZE,2012,4.998839
Azerbaijan,AZE,2013,2.873981
Azerbaijan,AZE,2014,2.0607114
Azerbaijan,AZE,2015,8.995354
Azerbaijan,AZE,2016,-1.4766037
Azerbaijan,AZE,2017,-1.5605271
Azerbaijan,AZE,2018,2.497816
Azerbaijan,AZE,2019,5.0693274
Azerbaijan,AZE,2020,2.7955651
Azerbaijan,AZE,2021,6.705427
Azerbaijan,AZE,2022,-1.2089908
Bangladesh,BGD,1972,13.838684
Bangladesh,BGD,1973,26.090967
Bangladesh,BGD,1974,8.25075
Bangladesh,BGD,1975,0.06920099
Bangladesh,BGD,1976,16.916573
Bangladesh,BGD,1977,3.046012
Bangladesh,BGD,1978,5.722189
Bangladesh,BGD,1979,9.916508
Bangladesh,BGD,1980,17.70302
Bangladesh,BGD,1981,5.950129
Bangladesh,BGD,1982,11.726427
Bangladesh,BGD,1983,-2.205342
Bangladesh,BGD,1984,6.6891313
Bangladesh,BGD,1985,12.990368
Bangladesh,BGD,1986,11.102557
Bangladesh,BGD,1987,10.2524395
Bangladesh,BGD,1988,10.848534
Bangladesh,BGD,1989,6.8925858
Bangladesh,BGD,1990,6.5007687
Bangladesh,BGD,1991,-3.4610927
Bangladesh,BGD,1992,9.567392
Bangladesh,BGD,1993,10.989201
Bangladesh,BGD,1994,5.437243
Bangladesh,BGD,1995,20.210945
Bangladesh,BGD,1996,3.781414
Bangladesh,BGD,1997,5.2241683
Bangladesh,BGD,1998,6.25118
Bangladesh,BGD,1999,1.2364149
Bangladesh,BGD,2000,7.535875
Bangladesh,BGD,2001,14.011108
Bangladesh,BGD,2002,0.7656932
Bangladesh,BGD,2003,5.788195
Bangladesh,BGD,2004,6.25149
Bangladesh,BGD,2005,8.430791
Bangladesh,BGD,2006,8.301746
Bangladesh,BGD,2007,2.4433494
Bangladesh,BGD,2008,5.552125
Bangladesh,BGD,2009,10.4099865
Bangladesh,BGD,2010,2.3052812
Bangladesh,BGD,2011,8.363235
Bangladesh,BGD,2012,8.788597
Bangladesh,BGD,2013,4.092872
Bangladesh,BGD,2014,3.9167523
Bangladesh,BGD,2015,20.86383
Bangladesh,BGD,2016,0.20011663
Bangladesh,BGD,2017,4.4593096
Bangladesh,BGD,2018,6.8377495
Bangladesh,BGD,2019,12.209296
Bangladesh,BGD,2020,-5.3070965
Bangladesh,BGD,2021,4.8312664
Bangladesh,BGD,2022,3.9096713
Belarus,BLR,1986,14.165902
Belarus,BLR,1987,1.4558315
Belarus,BLR,1988,1.4359355
Belarus,BLR,1989,-3.2845438
Belarus,BLR,1990,0.49866438
Belarus,BLR,1991,-0.22758842
Belarus,BLR,1992,-13.283247
Belarus,BLR,1993,-16.385143
Belarus,BLR,1994,-16.406368
Belarus,BLR,1995,-11.041564
Belarus,BLR,1996,2.5709271
Belarus,BLR,1997,1.1467099
Belarus,BLR,1998,-2.2192955
Belarus,BLR,1999,-2.7166128
Belarus,BLR,2000,3.0804992
Belarus,BLR,2001,-2.7878463
Belarus,BLR,2002,3.4572482
Belarus,BLR,2003,-0.75507164
Belarus,BLR,2004,11.975182
Belarus,BLR,2005,-0.32923222
Belarus,BLR,2006,6.3346744
Belarus,BLR,2007,-2.4534166
Belarus,BLR,2008,1.2668848
Belarus,BLR,2009,-5.4812374
Belarus,BLR,2010,8.317482
Belarus,BLR,2011,-1.7933071
Belarus,BLR,2012,8.152807
Belarus,BLR,2013,-9.415161
Belarus,BLR,2014,0.051665306
Belarus,BLR,2015,-9.512293
Belarus,BLR,2016,2.110386
Belarus,BLR,2017,1.4937043
Belarus,BLR,2018,10.727179
Belarus,BLR,2019,0.37555695
Belarus,BLR,2020,-7.681489
Belarus,BLR,2021,1.9034863
Belarus,BLR,2022,-2.1365285
Belgium,BEL,1966,-3.6830246
Belgium,BEL,1967,4.969442
Belgium,BEL,1968,11.480629
Belgium,BEL,1969,9.7971325
Belgium,BEL,1970,5.621135
Belgium,BEL,1971,-1.812464
Belgium,BEL,1972,6.2826395
Belgium,BEL,1973,1.2567401
Belgium,BEL,1974,-3.5005152
Belgium,BEL,1975,-9.347171
Belgium,BEL,1976,4.5453787
Belgium,BEL,1977,-1.0225356
Belgium,BEL,1978,4.355848
Belgium,BEL,1979,3.6336422
Belgium,BEL,1980,-5.121374
Belgium,BEL,1981,-5.478263
Belgium,BEL,1982,-6.093478
Belgium,BEL,1983,-8.480108
Belgium,BEL,1984,2.8257608
Belgium,BEL,1985,0.79894066
Belgium,BEL,1986,0.75906515
Belgium,BEL,1987,2.0754337
Belgium,BEL,1988,1.8310308
Belgium,BEL,1989,2.1110773
Belgium,BEL,1990,4.69172
Belgium,BEL,1991,4.250407
Belgium,BEL,1992,-0.6333232
Belgium,BEL,1993,-1.095736
Belgium,BEL,1994,7.0786
Belgium,BEL,1995,1.0818839
Belgium,BEL,1996,6.59672
Belgium,BEL,1997,-0.7204294
Belgium,BEL,1998,2.9278755
Belgium,BEL,1999,-2.2654295
Belgium,BEL,2000,2.558887
Belgium,BEL,2001,-0.0985682
Belgium,BEL,2002,-0.925833
Belgium,BEL,2003,4.825926
Belgium,BEL,2004,0.483191
Belgium,BEL,2005,-1.6480744
Belgium,BEL,2006,0.4721403
Belgium,BEL,2007,0.015711784
Belgium,BEL,2008,2.7928114
Belgium,BEL,2009,-10.664463
Belgium,BEL,2010,7.288146
Belgium,BEL,2011,-9.111184
Belgium,BEL,2012,-2.3639917
Belgium,BEL,2013,1.551652
Belgium,BEL,2014,-5.2284184
Belgium,BEL,2015,4.220259
Belgium,BEL,2016,1.1738062
Belgium,BEL,2017,1.079762
Belgium,BEL,2018,5.401778
Belgium,BEL,2019,-3.2485247
Belgium,BEL,2020,-11.177606
Belgium,BEL,2021,7.2143793
Belgium,BEL,2022,-7.9479218
Brazil,BRA,1966,8.99111
Brazil,BRA,1967,3.2391906
Brazil,BRA,1968,17.863083
Brazil,BRA,1969,9.877289
Brazil,BRA,1970,14.277649
Brazil,BRA,1971,12.575186
Brazil,BRA,1972,13.052357
Brazil,BRA,1973,19.483757
Brazil,BRA,1974,10.919392
Brazil,BRA,1975,3.9937973
Brazil,BRA,1976,7.7106595
Brazil,BRA,1977,3.6320686
Brazil,BRA,1978,10.153521
Brazil,BRA,1979,6.668699
Brazil,BRA,1980,-1.768297
Brazil,BRA,1981,-3.636247
Brazil,BRA,1982,2.7110815
Brazil,BRA,1983,-4.10853
Brazil,BRA,1984,2.888012
Brazil,BRA,1985,5.697453
Brazil,BRA,1986,7.350147
Brazil,BRA,1987,3.1775594
Brazil,BRA,1988,0.4733324
Brazil,BRA,1989,2.004838
Brazil,BRA,1990,-1.4412582
Brazil,BRA,1991,2.1336555
Brazil,BRA,1992,0.43907166
Brazil,BRA,1993,4.595828
Brazil,BRA,1994,5.9547544
Brazil,BRA,1995,7.1088433
Brazil,BRA,1996,6.7849755
Brazil,BRA,1997,7.8540206
Brazil,BRA,1998,3.2084346
Brazil,BRA,1999,1.2757301
Brazil,BRA,2000,5.9577107
Brazil,BRA,2001,2.389419
Brazil,BRA,2002,-0.309664
Brazil,BRA,2003,-0.50941706
Brazil,BRA,2004,5.391717
Brazil,BRA,2005,1.4361143
Brazil,BRA,2006,2.2950172
Brazil,BRA,2007,4.825723
Brazil,BRA,2008,5.7294846
Brazil,BRA,2009,-5.6910696
Brazil,BRA,2010,12.526679
Brazil,BRA,2011,3.2522798
Brazil,BRA,2012,7.1510434
Brazil,BRA,2013,5.732882
Brazil,BRA,2014,4.565966
Brazil,BRA,2015,-3.2248795
Brazil,BRA,2016,-7.4647903
